Species,Family,locomotion,hunting,diet,diet2,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,hindlimb_len,forelimb_len,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Ichneumia_albicauda,07Herpestidae,terrestrial,occasional,insectivore,omnivore,generalist,base,feliformia,base,base,feliformia,91.41304461,4.93669494,3.442193675,3.909433249,4.666623308,5.336832388,4.099910517,1.570774343,236.575,214.145,412.5075,108.775,0.042500706,0.087860016,0.029207457,0.029207457,0.079425168,0.055022204,0.063623869,0.135099073,0.141075655,0.127605892
Liberiictis_kuhni,07Herpestidae,terrestrial,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,68.49366765,6.053870968,3.257915333,4.576774194,3.033606677,5.052739978,4.907076205,2.280952381,142.55,114.94,283.76,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos_mungo,07Herpestidae,terrestrial,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,64.37310132,5.92220339,3.069527215,4.612711864,3.591807402,5.192443967,4.491623425,2.161290323,143.09,120.57,272.15,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suricata_suricatta,07Herpestidae,semi_fossorial,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,47.34216776,5.531049724,2.66426146,4.143867403,3.290920476,6.08898061,3.136090541,1.782608696,110.6,94.88,187.51,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelocynus_microtis,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,119.2850315,5.739173554,3.091454873,4.462479339,4.739744297,5.058980729,4.665641071,1.917831191,268.74,226.09,539.96,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis_adustus,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,111.2753073,4.878284679,3.424847596,3.745614474,4.997831023,4.914910505,4.647391157,1.79310551,288.28,503.522,499.052,133.42,0.020077218,0.011616133,0.022565574,0.022565574,0.011271012,0.023108191,0.015120917,0.026972167,0.034631733,0.030949173
Canis_aureus,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,vert_flesh,base,base,base,base,base,110.5517012,4.768839901,3.155225929,3.698077756,4.358396477,5.239993002,4.924336677,1.816021748,272.4525,243.215,496.3275,134.7,0.050183654,0.035695918,0.013989186,0.013989186,0.038631212,0.007305057,0.02061031,0.03712229,0.071738012,0.058679495
Canis_latrans,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,132.6108671,4.646585159,3.347842943,3.539763745,4.924352908,4.966941619,4.440318736,2.054808203,345.8,318.49,582.73,164.72,0.013754056,0.017251895,0.008456601,0.008456601,0.019428717,0.041037097,0.026133111,0.01424043,0.12833708,0.008769493
Canis_lupus,08Canidae,terrestrial,pursuit,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,185.1835398,4.368271801,3.06728153,3.415445345,4.685899174,4.78345021,4.141703548,1.657947413,454.2,419.2,808.518,236.92,0.034642138,0.029753765,0.021153568,0.021153568,0.029193733,0.039396559,0.013189985,0.015083305,0.048430914,0.02409012
Canis_mesomelas,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,110.6719904,4.688127075,3.173683897,3.627822024,4.841885637,4.969036597,4.759117063,1.87656359,285.03,264.0725,497.2875,137.125,0.012606768,0.012832222,0.013307271,0.013307271,0.008798451,0.029770438,0.019172796,0.017697942,0.011498691,0.025319829
Canis_simensis,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,143.3983454,4.817641921,3.400673401,3.641513828,4.713768253,5.24009608,4.377422633,1.709856548,379,346,625.43,171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerdocyon_thous,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,101.9289413,5.277546386,3.288815899,4.082415168,4.802452841,5.095315191,4.602130464,1.806201758,253.4125,216.2025,463.2525,113.525,0.042869866,0.013267604,0.014733159,0.014733159,0.011480976,0.036784499,0.023498226,0.015030675,0.153730058,0.046048121
Chrysocyon_brachyurus,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,169.6358686,4.872839772,3.043101448,3.778135375,5.081812619,4.456834549,4.16022671,1.753402322,559.25,517.25,741.83,196.25,0.028002519,0.02654795,0.023057691,0.023057691,0.027524228,0.068525757,0.018857142,0.014483234,0.090070436,0.0120216
Cuon_alpinus,08Canidae,terrestrial,pursuit,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,143.7770666,4.268421272,2.887021209,3.374645305,4.439066991,5.005949783,4.68068435,2.102057903,357.5,291.365,651.24,193,0.001256805,0.010200133,0.008361143,0.008361143,0.013146592,0.024744967,0.004597674,0.019628912,0.030883186,0.007772177
Lycalopex_griseus,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,79.9384952,5.482879107,2.928958465,4.206151802,6.160810049,5.36304563,5.29660459,1.822010348,207.41,141.05,372.745,88.65,0.003434974,0.008801672,0.040662408,0.040662408,0.009587554,0.001330085,0.004171413,0.002902916,0.002403142,0.007332337
Lycaon_pictus,08Canidae,terrestrial,pursuit,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,164.7586853,4.092428881,2.696249194,3.227750135,4.230077432,4.635446437,4.427343381,1.550417651,392,354.25,701.52,217.4,0.040465945,0.009679996,0.01069034,0.01069034,0.011093227,0.015157932,0.025663592,0.019250503,0.084060255,0.02892862
Nyctereutes_procyonoides,08Canidae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,82.23189976,4.896081007,3.102768083,3.770365117,3.936330934,5.312721591,4.65175999,1.538475758,186.6466667,155.2133333,356.61,94.66666667,0.007982066,0.02671875,0.00758104,0.00758104,0.032140655,0.040550518,0.008210438,0.023186099,0.111613681,0.022856006
Otocyon_megalotis,08Canidae,terrestrial,occasional,omnivore,mesocarnivore,invertebrates,base,base,base,base,base,81.02670661,4.758395414,3.309095872,3.613398165,4.670982621,4.956128845,4.234774819,1.338160734,225.228,198.316,351.604,97.32,0.013777438,0.010077359,0.016219498,0.016219498,0.01351626,0.027635832,0.007657906,0.027871039,0.083888388,0.013022645
Pseudalopex_culpaeus,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,111.1319562,5.009213525,3.530744537,3.798507695,4.657229484,4.972736495,4.661471951,1.666643917,289.17,251.95,494.245,130.15,0.048453452,0.002571916,0.007709475,0.007709475,0.001539328,0.031581579,0.028214129,0.010604734,0.055599886,0.047288387
Pseudalopex_gymnocercus,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,106.2527107,5.108171955,3.379240591,3.941457056,4.400763463,4.977573487,4.580535073,1.472303023,275,238.0775,475.6425,120.775,0.006438125,0.013997534,0.024267365,0.024267365,0.012606313,0.019005451,0.016879223,0.009544979,0.071939454,0.016155219
Pseudalopex_vetulus,08Canidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,base,base,base,base,80.01654163,5.844590781,2.975135577,4.487761781,4.767917691,5.740044522,5.033765643,1.49832708,195.835,164.41,370.4858334,82.4,0.099170948,0.003039638,0.041637686,0.041637686,0.020250803,0.054110807,0.034009883,0.010521948,0.151482588,0.108432691
Speothos_venaticus,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,92.69282689,5.171066584,2.863019087,3.958671646,4.221014294,6.127878126,5.439807637,1.563106244,187.036,167.684,422.691,106.92,0.013461162,0.017763113,0.018381325,0.018381325,0.020649859,0.012701149,0.020692524,0.045364209,0.104504191,0.021336642
Urocyon_cinereoargenteus,08Canidae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,90.11110147,6.007661035,3.201288682,4.686923429,4.782527168,5.185198241,5.349722855,2.154501785,231.3425,194.1225,428.47,91.45,0.009742121,0.00823173,0.012552839,0.012552839,0.011853074,0.058840185,0.02043038,0.024079053,0.037197233,0.009731721
Urocyon_littoralis,08Canidae,semi_arboreal,occasional,omnivore,mesocarnivore,generalist,base,base,base,base,base,69.7768732,5.721783354,2.983777189,4.392813033,4.692209874,5.389266381,5.684867935,1.936288948,169.65,141.964,323.994,73.88,0.038259147,0.013817799,0.019940157,0.019940157,0.015166076,0.039286286,0.052985326,0.028320151,0.031930201,0.035007101
Vulpes_chama,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,base,base,base,base,85.6050444,5.372556793,3.096014007,4.161517124,4.808702989,5.374829996,5.196984976,1.745508546,229.515,207.64,389.375,93.65,0.009956947,0.022388822,0.037475837,0.037475837,0.025000208,0.029084122,0.030237785,0.00699942,0.099183527,0.025098702
Vulpes_lagopus,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,85.11227743,4.849029223,3.098834779,3.650793854,4.146601987,5.304393198,4.851288778,1.780081121,215.292,196.32,372.4281322,102.06,0.018071016,0.007975325,0.014052913,0.014052913,0.012220293,0.029113302,0.021133824,0.029862517,0.099403464,0.016447735
Vulpes_macrotis,08Canidae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,base,base,base,base,72.8130258,5.306286486,3.219865035,3.993024513,5.048549152,5.714678749,5.550953091,1.525764673,197.475,174.75,332.575,83.2,0.033943664,0.009268436,0.008170489,0.008170489,0.02405743,0.139026017,0.066815549,0.02970403,0.011434243,0.044500505
Vulpes_rueppellii,08Canidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,base,base,base,base,73.72607625,4.857013374,3.227346888,3.662746311,4.453275879,5.387748705,5.350433588,1.636048812,198.8275,180.9425,327.445,89.4,0.014868503,0.011006676,0.023138679,0.023138679,0.010473284,0.013522298,0.010650287,0.02299232,0.076556008,0.015091098
Vulpes_velox,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,vert_flesh,base,base,base,base,base,77.2015815,4.957599285,3.160221899,3.734911531,4.60227281,5.583918444,5.429527704,1.580182262,205.264,184.686,344.586,92.32,0.028852921,0.008110469,0.007831286,0.007831286,0.005598726,0.017498428,0.022550679,0.016193307,0.035060229,0.033049045
Vulpes_vulpes,08Canidae,terrestrial,pounce,omnivore,mesocarnivore,vert_flesh,base,base,base,base,base,94.23534992,5.179953975,3.19717747,3.983648288,4.721646979,5.537269015,5.617530028,2.018553218,266.145,232.5975,441.8497727,110.95,0.019095543,0.009172649,0.015092591,0.015092591,0.008889859,0.070006343,0.03757074,0.018983707,0.034164983,0.018697911
Vulpes_zerda,08Canidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,base,base,base,base,58.89098523,5.060504928,3.030550207,3.825706591,4.379180221,5.670485028,5.293407888,1.572473787,160.37,137.655,263.4475,68.9,0.008935206,0.01650608,0.030442058,0.030442058,0.015418158,0.021341472,0.017500641,0.018296669,0.102530158,0.014190161
Ailuropoda_melanoleuca,09Ursidae,semi_arboreal,occasional,herbivore,omnivore,tough,base,ursidae,base,ursidae,base,229.6693222,3.449762278,2.484641985,2.636900145,2.819502155,4.456886941,2.219655003,2.850055745,459.75,461.25,851.185,322.425,0.029520473,0.014263224,0.010591302,0.010591302,0.01760597,0.045975227,0.038731997,0.146205186,0.061346278,0.029077646
Helarctos_malayanus,09Ursidae,semi_arboreal,occasional,omnivore,omnivore,generalist,base,ursidae,base,ursidae,base,194.1716423,3.235066079,2.591844014,2.466784141,2.919799032,4.421880814,1.598427132,2.353658537,390,396,699.95,283.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melursus_ursinus,09Ursidae,semi_arboreal,occasional,insectivore,omnivore,invertebrates,base,ursidae,base,ursidae,base,250.6560642,3.360822376,3.363945272,2.540452026,3.657958555,4.350196788,1.767037975,2.756598368,492.25,464,922.6829545,363.65,0.032551283,0.021465776,0.00669517,0.00669517,0.020571843,0.049640306,0.013963844,0.078348862,0.078880275,0.041734249
Tremarctos_ornatus,09Ursidae,semi_arboreal,occasional,omnivore,omnivore,generalist,base,ursidae,base,ursidae,base,261.3014722,3.397749301,2.889520565,2.715164178,3.492404584,3.800005491,2.779199245,3.028450358,538.5,511.5,993.16,365.4,0.061254242,0.013541098,0.009734273,0.009734273,0.026521279,0.016472844,0.017752564,0.030784445,0.022693927,0.042170574
Ursus_americanus,09Ursidae,semi_arboreal,occasional,omnivore,omnivore,generalist,base,ursidae,base,ursidae,base,245.2839392,3.548731394,3.245247967,2.773335905,3.731853152,4.58301369,2.836368425,3.183461514,541.25,507,962.5225,350.125,0.067657864,0.037182166,0.010081821,0.010081821,0.038737163,0.038002927,0.080988114,0.070522141,0.10993695,0.081796335
Ursus_arctos,09Ursidae,terrestrial,occasional,omnivore,omnivore,generalist,base,ursidae,base,ursidae,base,308.8702053,3.156113748,3.232166087,2.444953443,3.648950659,4.386453016,2.390579347,2.744597739,640.5,600.5,1149.805,471.35,0.090284196,0.013694434,0.022844761,0.022844761,0.011194315,0.045891953,0.057270229,0.105747848,0.115487893,0.076556142
Ursus_maritimus,09Ursidae,semi_aquatic,ambush,carnivore,omnivore,vert_flesh,base,ursidae,base,ursidae,base,379.0043966,3.770831537,2.800349047,2.993459891,3.569606112,4.465200716,2.45286859,2.840678387,734,675.5,1454.3525,485.825,0.035559777,0.008874705,0.155407357,0.155407357,0.01105955,0.031900219,0.027712454,0.036934834,0.015741291,0.015585282
Ursus_thibetanus,09Ursidae,arboreal,occasional,omnivore,omnivore,generalist,base,ursidae,base,ursidae,base,231.0150051,3.687440336,3.238143438,2.903387636,3.550377295,5.224062047,2.959493672,3.029731212,479,463.5,932.225,321.15,0.02043175,0.010728527,0.026799686,0.026799686,0.012934228,0.028364801,0.031332935,0.023608338,0.146323276,0.035438477
Conepatus_chinga,13Mephitidae,semi_fossorial,semi_fossorial,omnivore,omnivore,invertebrates,musteloid,base,base,mephitid,musteloid,53.98013505,5.696655748,2.58574361,4.358227966,3.141156014,6.643950002,3.07371521,1.013884895,119.35,95.492,217.698,50.04,0.038833454,0.01682406,0.035894479,0.035894479,0.019213277,0.015151823,0.017539975,0.030333964,0.078210416,0.039063438
Conepatus_leuconotus,13Mephitidae,semi_fossorial,semi_fossorial,omnivore,omnivore,invertebrates,musteloid,base,base,mephitid,musteloid,64.27247848,4.936303066,2.384481756,3.806509414,2.964969692,5.952936209,2.244011353,0.976208285,138.184,109.768,241.412,63.36,0.032512729,0.008767773,0.027000514,0.027000514,0.011847738,0.016604994,0.014071977,0.057043583,0.117130391,0.025200578
Mephitis_macroura,13Mephitidae,semi_fossorial,semi_fossorial,omnivore,omnivore,invertebrates,musteloid,base,base,mephitid,musteloid,50.41020173,5.827904762,2.794175355,4.453948718,3.794551955,6.940121881,3.627604185,0.935746654,118.3,96.33,209.69,47.15,0.003459347,0.027990649,0.026397012,0.026397012,0.027962889,0.052634564,0.00891253,0.039484767,0.019798211,0.035008993
Mephitis_mephitis,13Mephitidae,semi_fossorial,semi_fossorial,omnivore,omnivore,invertebrates,musteloid,base,base,mephitid,musteloid,56.02868967,5.788387707,2.962812805,4.441248572,3.759627779,6.953023328,3.367988105,0.90681894,128.2225,104.08875,236.83375,53.3125,0.030689803,0.015911179,0.01512307,0.01512307,0.020860652,0.017012477,0.016183068,0.033326878,0.087145026,0.022068822
Mydaus_javanensis,13Mephitidae,semi_fossorial,semi_fossorial,insectivore,omnivore,invertebrates,musteloid,base,base,base,musteloid,64.84503182,5.146231884,3.269056604,3.890724638,3.158643053,7.392385291,2.18902934,1.348060345,134.92,111.61,268.46,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mydaus_marchei,13Mephitidae,semi_fossorial,semi_fossorial,insectivore,omnivore,invertebrates,musteloid,base,base,base,musteloid,63.89787328,5.208627451,2.67167382,4.036862745,2.820559133,5.943405066,2.713476131,1.474642393,127.23,105.36,257.35,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spilogale_gracilis,13Mephitidae,terrestrial,pounce,carnivore,omnivore,vert_flesh,musteloid,base,base,mephitid,musteloid,40.83767493,6.680394664,2.959110403,5.200489704,4.280539739,8.520278361,4.933742565,1.085467692,83.856,67.326,191.352,36.82,0.016374883,0.020842017,0.020760457,0.020760457,0.022572101,0.01098586,0.035172719,0.068693846,0.068586057,0.016071408
Spilogale_putorius,13Mephitidae,terrestrial,pounce,carnivore,omnivore,vert_flesh,musteloid,base,base,mephitid,musteloid,40.33674818,6.783443447,2.96797198,5.254313872,4.022055562,7.891408746,5.329772279,1.125440468,85.7125,68.73125,188.57125,35.925,0.022245485,0.013208333,0.013630104,0.013630104,0.015140039,0.022827551,0.029194519,0.022801241,0.031724524,0.022917942
Ailurus_fulgens,14Ailuridae,arboreal,occasional,herbivore,omnivore,tough,musteloid,base,base,base,musteloid,89.63033169,4.609142672,2.289861037,3.643787459,4.162545668,7.57455765,4.853022993,2.07528404,216.5283333,196.2733333,398.9233333,109.5,0.016841046,0.01249877,0.031121231,0.031121231,0.014794343,0.027521643,0.030749806,0.021400946,0.020458102,0.017599569
Bassaricyon_alleni,15Procyonidae,arboreal,occasional,herbivore,frugivore,soft,musteloid,bassaricyon,base,base,musteloid,56.78772446,5.80981716,2.575384119,4.486429368,4.14432601,7.196470241,5.713740148,1.541190714,152.0533333,119.0433333,253.8833333,56.6,0.019912322,0.003375142,0.051573053,0.051573053,0.008254704,0.036196662,0.037328753,0.079020912,0.193332783,0.017983338
Bassaricyon_gabbii,15Procyonidae,arboreal,occasional,herbivore,frugivore,soft,musteloid,bassaricyon,base,base,musteloid,60.06951743,6.431325489,2.771051742,4.974565819,4.06128251,7.190439555,6.164668982,2.113445378,157.78,123.19,279.81,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassaricyon_medius,15Procyonidae,arboreal,occasional,herbivore,frugivore,soft,musteloid,bassaricyon,base,base,musteloid,62.49975815,5.95247392,2.917826825,4.554447069,3.951889683,6.697895191,5.791614518,1.790849673,171.69,134.25,279.94,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassaricyon_neblina,15Procyonidae,arboreal,occasional,herbivore,frugivore,soft,musteloid,bassaricyon,base,base,musteloid,53.43938618,6.083273873,2.547524102,4.691721034,4.013944558,7.522313467,5.885748482,2.017303372,139.3125,108.9325,242.585,51.775,0.016128779,0.017110224,0.018079288,0.018079288,0.016105728,0.004815123,0.034859556,0.02960404,0.054722683,0.018455411
Bassariscus_astutus,15Procyonidae,semi_arboreal,pounce,carnivore,omnivore,vert_flesh,musteloid,bassariscus,base,base,musteloid,55.43960666,6.292316118,3.038746688,4.811154095,4.563957521,7.133826761,4.917154435,1.739344396,128.6355556,107.7411111,249.51,52.06666667,0.013410803,0.017514753,0.01160593,0.01160593,0.017308982,0.010764544,0.011943048,0.010066394,0.028240367,0.027319341
Bassariscus_sumichrasti,15Procyonidae,semi_arboreal,occasional,omnivore,omnivore,generalist,musteloid,bassariscus,base,base,musteloid,59.07847472,6.386272355,2.811531672,4.886548811,4.498446446,7.301316626,4.921909716,1.822192063,156.755,123.665,269.71,55.25,0.015874267,0.023425882,0.012222896,0.012222896,0.024727944,0.052101532,0.019383923,0.009068007,0.027007657,0.040746517
Nasua_narica,15Procyonidae,semi_arboreal,occasional,omnivore,frugivore,generalist,musteloid,base,base,base,musteloid,92.67494868,4.567235023,2.777638886,3.422393074,3.094942376,5.496140307,3.534133003,1.612352687,216.226,176.538,357.378,104.92,0.046082235,0.028930238,0.032887668,0.032887668,0.027793749,0.025805726,0.016662906,0.026355572,0.047983219,0.054217657
Nasua_nasua,15Procyonidae,semi_arboreal,occasional,omnivore,frugivore,generalist,musteloid,base,base,base,musteloid,85.64014403,4.70862854,2.711637858,3.54914456,3.111757903,5.564308394,3.214157416,1.645591366,182.78,153.4275,330.34555,93.225,0.027632084,0.020918779,0.017574436,0.017574436,0.02178113,0.013980567,0.032859928,0.025457789,0.010863144,0.038321007
Nasuella_olivacea,15Procyonidae,semi_arboreal,occasional,insectivore,frugivore,invertebrates,musteloid,base,base,base,musteloid,75.28208847,4.636213018,2.990017616,3.431005917,3.281808036,5.173311782,3.606203641,1.633333333,158.47,132.62,289.92,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potos_flavus,15Procyonidae,arboreal,occasional,herbivore,frugivore,soft,musteloid,base,base,base,musteloid,73.25055055,5.240425486,2.306455746,4.105618335,3.440322435,6.840789682,4.506579411,1.456195469,175.265,151.5333333,308.78,75.33333333,0.018332156,0.021524617,0.027960019,0.027960019,0.021624368,0.017505198,0.0276066,0.023478248,0.097891476,0.021691765
Procyon_cancrivorus,15Procyonidae,semi_arboreal,occasional,omnivore,omnivore,generalist,musteloid,base,base,base,musteloid,99.25452479,4.730199136,2.576557387,3.565222683,3.160964524,4.970796792,3.160716257,1.699494772,271.6825,225.8675,374.5675,105.225,0.044416771,0.031444533,0.020389365,0.020389365,0.035794611,0.023946419,0.023989172,0.009902448,0.069720392,0.045636821
Procyon_lotor,15Procyonidae,semi_arboreal,occasional,omnivore,omnivore,generalist,musteloid,base,base,base,musteloid,95.49059694,4.386411356,2.770509464,3.32700608,3.391587294,5.304633907,3.159583096,1.644697219,255.9066667,221.6433333,364.445,109.7666667,0.014550666,0.015282892,0.015512505,0.015512505,0.017382131,0.021514944,0.027340433,0.027781302,0.081837046,0.025848326
Aonyx_capensis,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,126.0174791,5.392235982,2.482078929,4.345613983,3.636122168,6.040850537,2.980761303,1.617206851,221.34,197.8933333,531.4033333,122.2666667,0.03354172,0.004636494,0.068624845,0.068624845,0.004604797,0.020267182,0.032030583,0.061940615,0.022873806,0.019764039
Aonyx_cinerea,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,77.63036192,5.61408737,2.541042198,4.456014694,3.621900342,6.976925993,3.849205413,1.625730281,139.34375,118.92125,335.7925,75.375,0.022571359,0.009646845,0.02340915,0.02340915,0.012153039,0.027219309,0.028907554,0.029290418,0.034469855,0.018606799
Arctonyx_collaris,16Mustelidae,semi_fossorial,semi_fossorial,omnivore,omnivore,invertebrates,musteloid,base,base,base,musteloid,107.5296136,5.35885735,3.009936863,4.064433998,3.5431069,6.681180786,3.179564112,1.650935286,207.09,178.965,452.075,111.15,0.079099153,0.003381308,0.004264372,0.004264372,0.011899152,0.062228392,0.004173598,0.025837335,0.142311189,0.087038744
Eira_barbara,16Mustelidae,arboreal,pounce,carnivore,weasel-hyper,vert_flesh,musteloid,mustelid,base,base,musteloid,95.70405122,5.62333886,2.731475306,4.499816382,4.381023886,7.107737056,4.902342824,1.79846907,207.0057143,173.4142857,448.9785714,100.1428571,0.037101579,0.022982857,0.022347173,0.022347173,0.024447743,0.029855167,0.035360556,0.030058092,0.087311398,0.039844847
Enhydra_lutris,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,tough,musteloid,enhydra,base,base,enhydra,161.1572635,3.435461638,2.224431676,2.867452557,2.96878241,5.919810307,2.889544688,1.20303203,228.83,188.5325,660.595,230.375,0.024334062,0.00779504,0.017610596,0.017610596,0.006809523,0.057584691,0.014038766,0.015099801,0.043182704,0.024137946
Galictis_cuja,16Mustelidae,terrestrial,pounce,carnivore,weasel-hyper,vert_flesh,musteloid,mustelid,base,base,musteloid,52.30694841,6.589748098,2.980238201,5.222111874,4.414624549,10.55278993,4.947133623,2.03965761,96.2,78.5425,270.235,51.9,0.05843927,0.018983758,0.038386958,0.038386958,0.012320381,0.030896328,0.015320441,0.030510277,0.025068324,0.072780547
Galictis_vittata,16Mustelidae,terrestrial,pounce,carnivore,weasel-hyper,vert_flesh,musteloid,mustelid,base,base,musteloid,65.66398026,6.506845056,2.963865632,5.261722705,4.644773919,9.7855734,4.747207234,1.847288881,120.3466667,100.8166667,344.0433333,65.56666667,0.071543636,0.017264558,0.032397333,0.032397333,0.01574054,0.030019261,0.039221942,0.046566537,0.021963525,0.070651352
Gulo_gulo,16Mustelidae,terrestrial,ambush,carnivore,weasel-hyper,vert_flesh,musteloid,gulo,base,base,musteloid,117.897884,4.574525998,2.801520235,3.586010264,3.774000352,6.867661906,3.173916239,1.552998568,262.6825,240.3725,510.9,142.5625,0.02495735,0.008800953,0.010514637,0.010514637,0.009113405,0.019583594,0.015234713,0.016038511,0.037909806,0.024557365
Hydrictis_maculicollis,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,89.05069872,5.952972833,2.667641829,4.793788038,3.86134591,7.585372158,3.647827361,1.516424632,126.10625,105.3325,409.2625,85.775,0.028607159,0.029201595,0.025148619,0.025148619,0.028815115,0.035059466,0.034519125,0.041097582,0.058893425,0.034944433
Ictonyx_libyca,16Mustelidae,semi_fossorial,semi_fossorial,carnivore,weasel-hyper,vert_flesh,musteloid,mustelid,base,base,musteloid,31.43304309,6.132506583,2.953287046,4.573014582,4.221343788,8.917970439,3.765698797,1.188918501,61.22666667,52.19,146.9966667,31.96666667,0.07097656,0.060928207,0.022526711,0.022526711,0.08928599,0.060949426,0.074863881,0.104849687,0.068708759,0.031560522
Ictonyx_striatus,16Mustelidae,semi_fossorial,pounce,carnivore,weasel-hyper,vert_flesh,musteloid,mustelid,base,base,musteloid,48.3719801,6.029368555,2.647570143,4.759797951,4.424710652,8.698883846,3.797762938,1.441831551,99.03833333,79.93833333,232.3783333,48.91666667,0.068298891,0.01411215,0.020905716,0.020905716,0.011157725,0.042184028,0.03010752,0.02491748,0.104082898,0.076448686
Lontra_canadensis,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,104.4063337,5.581015061,2.885813058,4.541342376,3.953476172,8.197793416,3.21619597,1.777838664,161.8385714,128.5857143,487.0442857,107.5428571,0.01283967,0.020124901,0.021802199,0.021802199,0.019316947,0.011959997,0.011650876,0.016266086,0.015880701,0.026213881
Lontra_felina,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,82.26991187,5.025352425,2.816545829,4.025176997,3.773903998,8.111517745,3.39133879,1.86804933,129.0633333,110.7233333,372.8533333,92.7,0.028001322,0.007752253,0.017553921,0.017553921,0.005726498,0.012520855,0.012425512,0.011270494,0.016919114,0.032142757
Lontra_longicaudis,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,94.22903037,5.833152583,2.717878559,4.70398408,4.034704958,7.82894374,3.41930813,1.78859187,142.3166667,118.8233333,435.8116667,92.93333333,0.025035605,0.020945431,0.019136079,0.019136079,0.017080794,0.042594236,0.028759414,0.038550083,0.019105046,0.040758843
Lutra_lutra,16Mustelidae,semi_aquatic,aquatic,aquatic,omnivore,aquatic,lutrinae,lutrinae,base,base,musteloid,95.91076731,5.574366925,3.021857923,4.488372093,4.011508426,7.181902811,3.980776432,1.613430908,154.56,128.58,434.25,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
